support_name,operator_count,single_count,double_count,spin_partner_closed,missing_partner_count,global_indices,missing_global_indices
random_path_000_composition,47,10,37,False,18,"[0, 3, 5, 6, 7, 8, 9, 12, 14, 17, 18, 21, 26, 28, 34, 35, 38, 41, 45, 48, 50, 51, 53, 54, 58, 62, 63, 64, 65, 66, 68, 70, 72, 73, 75, 77, 80, 83, 84, 85, 87, 89, 90, 92, 93, 97, 98]","[15, 16, 22, 23, 24, 32, 33, 43, 44, 52, 61, 69, 79, 82, 86, 91, 94, 96]"
random_path_001_composition,47,10,37,False,19,"[0, 3, 5, 6, 9, 12, 13, 14, 16, 17, 18, 21, 23, 26, 28, 32, 33, 38, 40, 41, 43, 45, 48, 49, 51, 52, 53, 56, 59, 62, 63, 66, 67, 68, 72, 75, 76, 78, 79, 81, 82, 83, 86, 89, 92, 93, 97]","[4, 7, 8, 15, 24, 25, 34, 44, 50, 57, 60, 64, 65, 70, 73, 84, 87, 90, 94]"
random_path_002_composition,47,10,37,False,16,"[0, 3, 4, 6, 7, 8, 9, 12, 15, 16, 18, 21, 26, 28, 32, 34, 38, 40, 43, 44, 45, 48, 53, 56, 57, 59, 61, 62, 65, 69, 70, 72, 73, 74, 75, 77, 80, 82, 87, 89, 90, 91, 93, 94, 96, 97, 98]","[13, 17, 24, 33, 35, 41, 42, 49, 51, 64, 67, 79, 83, 85, 86, 92]"
random_path_003_composition,47,10,37,False,17,"[0, 3, 4, 5, 6, 7, 9, 12, 15, 16, 18, 21, 25, 28, 34, 35, 38, 40, 42, 43, 44, 45, 48, 50, 51, 53, 54, 55, 56, 64, 66, 67, 68, 69, 70, 74, 75, 76, 80, 83, 86, 87, 90, 94, 95, 96, 98]","[13, 14, 22, 26, 31, 32, 59, 60, 62, 71, 77, 79, 81, 82, 91, 92, 93]"
random_path_004_composition,47,10,37,False,21,"[0, 3, 4, 6, 7, 8, 9, 12, 13, 14, 18, 21, 23, 24, 26, 28, 32, 38, 40, 42, 44, 45, 48, 50, 54, 55, 56, 58, 60, 63, 64, 65, 68, 69, 70, 71, 78, 80, 81, 82, 84, 85, 88, 90, 93, 95, 97]","[5, 15, 16, 17, 22, 25, 31, 34, 41, 52, 53, 61, 66, 72, 74, 76, 77, 86, 89, 92, 96]"
random_path_005_composition,47,10,37,False,21,"[0, 3, 5, 6, 7, 8, 9, 12, 13, 17, 18, 21, 22, 23, 24, 26, 28, 31, 38, 41, 42, 45, 48, 50, 51, 53, 54, 55, 56, 64, 67, 68, 71, 72, 73, 78, 83, 84, 85, 87, 88, 89, 90, 91, 96, 97, 98]","[4, 14, 15, 16, 32, 33, 35, 40, 43, 52, 59, 61, 63, 65, 66, 74, 75, 79, 80, 93, 95]"
random_path_006_composition,47,10,37,False,15,"[0, 3, 4, 5, 8, 9, 12, 14, 15, 17, 18, 21, 24, 25, 26, 28, 31, 33, 38, 42, 44, 45, 48, 49, 51, 52, 53, 54, 56, 57, 60, 62, 63, 68, 70, 71, 72, 73, 75, 76, 78, 79, 80, 82, 87, 94, 96]","[6, 13, 22, 23, 34, 40, 55, 74, 81, 84, 86, 90, 92, 93, 95]"
random_path_007_composition,47,10,37,False,19,"[0, 3, 5, 6, 7, 8, 9, 12, 13, 15, 18, 21, 22, 28, 31, 34, 35, 38, 40, 43, 45, 48, 49, 50, 51, 52, 53, 58, 61, 62, 66, 68, 72, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 88, 94, 95]","[4, 14, 16, 17, 24, 25, 42, 54, 55, 56, 57, 60, 69, 71, 84, 87, 91, 93, 96]"
random_path_008_composition,47,10,37,False,11,"[0, 3, 5, 6, 8, 9, 12, 14, 15, 17, 18, 21, 23, 25, 28, 35, 38, 45, 48, 51, 52, 57, 61, 62, 63, 64, 67, 68, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 81, 84, 86, 88, 90, 91, 94, 96, 98]","[24, 26, 32, 42, 49, 59, 60, 69, 85, 87, 95]"
random_path_009_composition,47,10,37,False,19,"[0, 3, 5, 6, 9, 12, 13, 15, 16, 17, 18, 21, 22, 24, 26, 28, 33, 34, 38, 40, 41, 43, 45, 48, 50, 51, 52, 54, 55, 56, 57, 66, 69, 70, 73, 74, 75, 76, 80, 81, 83, 84, 88, 91, 94, 95, 98]","[4, 7, 8, 14, 25, 31, 35, 42, 49, 60, 62, 65, 71, 72, 77, 82, 86, 90, 96]"
random_path_010_composition,47,10,37,False,15,"[0, 3, 5, 7, 9, 12, 14, 15, 16, 17, 18, 21, 23, 28, 31, 34, 38, 42, 45, 48, 52, 53, 55, 56, 57, 59, 62, 65, 66, 67, 68, 70, 71, 72, 76, 78, 79, 81, 82, 86, 87, 88, 89, 92, 93, 97, 98]","[6, 8, 24, 25, 40, 41, 44, 49, 50, 60, 63, 74, 84, 94, 95]"
random_path_011_composition,47,10,37,False,21,"[0, 3, 4, 5, 6, 7, 9, 12, 16, 17, 18, 21, 24, 25, 28, 31, 33, 34, 35, 38, 40, 41, 44, 45, 48, 49, 51, 53, 54, 57, 59, 66, 69, 70, 74, 77, 78, 81, 84, 85, 86, 87, 88, 90, 92, 93, 94]","[8, 13, 14, 15, 22, 26, 42, 50, 52, 55, 56, 61, 62, 65, 67, 72, 73, 75, 79, 82, 91]"
random_path_012_composition,47,10,37,False,16,"[0, 3, 5, 6, 7, 8, 9, 12, 14, 17, 18, 21, 22, 23, 26, 28, 31, 33, 34, 38, 41, 42, 45, 48, 49, 50, 54, 59, 60, 62, 67, 68, 70, 73, 74, 76, 77, 78, 80, 84, 85, 87, 90, 92, 93, 94, 98]","[15, 16, 44, 52, 53, 55, 57, 61, 63, 65, 66, 69, 79, 82, 86, 96]"
