bond_length_angstrom,geometry_key,omitted_operator_label,omitted_operator_type,num_parameters,num_unique_initializations,num_valid_initializations,all_runs_valid,source_roles_json,rescue_data_included,all_run_energy_stable,optimizer_basin_sensitive,num_energy_basins,all_run_energy_spread_ha,best_basin_reproducible,best_basin_num_initializations,best_basin_energy_range_ha,best_basin_energy_sample_std_ha,energy_basins_json,compact10_baseline_energy_ha,exact_total_energy_ha,best_leave_one_out_energy_ha,worst_leave_one_out_energy_ha,best_leave_one_out_error_exact_ha,best_energy_penalty_vs_compact10_ha,worst_energy_penalty_vs_compact10_ha,chemical_classification_stable,chemical_accuracy_retained,good_classification_stable,good_accuracy_retained,acceptable_classification_stable,acceptable_accuracy_retained,strict_classification_stable,strict_equivalence_retained,operator_required_for_chemical_accuracy,operator_required_for_strict_equivalence,primary_threshold_classifications_stable,scientifically_resolved,final_resolution_status
1.595,1.595000,D0,double,9,2,2,True,"[""base""]",False,True,False,1,2.7532642832284182e-11,True,2,2.7532642832284182e-11,1.9468518450695337e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0007363179281076881, ""energy_max_ha"": -7.881438187811644, ""energy_mean_ha"": -7.88143818782541, ""energy_min_ha"": -7.881438187839176, ""energy_range_ha"": 2.7532642832284182e-11, ""energy_sample_std_ha"": 1.9468518450695337e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20670747"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.881438187839176,-7.881438187811644,0.0007363179281076881,0.0007363178831969464,0.0007363179107295892,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,D10,double,9,2,2,True,"[""base""]",False,True,False,1,2.2183144210430328e-11,True,2,2.2183144210430328e-11,1.5685851699234385e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0005069541534474808, ""energy_max_ha"": -7.881667551591653, ""energy_mean_ha"": -7.881667551602745, ""energy_min_ha"": -7.881667551613837, ""energy_range_ha"": 2.2183144210430328e-11, ""energy_sample_std_ha"": 1.5685851699234385e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20970756"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.881667551613837,-7.881667551591653,0.0005069541534474808,0.0005069541085367391,0.0005069541307198833,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,D12,double,9,2,2,True,"[""base""]",False,True,False,1,4.0681058521840896e-10,True,2,4.0681058521840896e-10,2.8765852346640483e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.002047917751011319, ""energy_max_ha"": -7.880126587609462, ""energy_mean_ha"": -7.8801265878128675, ""energy_min_ha"": -7.880126588016273, ""energy_range_ha"": 4.0681058521840896e-10, ""energy_sample_std_ha"": 2.8765852346640483e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21070759"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.880126588016273,-7.880126587609462,0.002047917751011319,0.002047917706100577,0.0020479181129111623,True,False,True,True,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,D15,double,9,2,2,True,"[""base""]",False,True,False,1,2.6687985155149363e-11,True,2,2.6687985155149363e-11,1.887125527941203e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.013589528629924352, ""energy_max_ha"": -7.868584977110672, ""energy_mean_ha"": -7.868584977124016, ""energy_min_ha"": -7.86858497713736, ""energy_range_ha"": 2.6687985155149363e-11, ""energy_sample_std_ha"": 1.887125527941203e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21170762"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.86858497713736,-7.868584977110672,0.013589528629924352,0.01358952858501361,0.013589528611701596,True,False,True,False,True,False,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,D3,double,9,2,2,True,"[""base""]",False,True,False,1,5.354827692372055e-12,True,2,5.354827692372055e-12,3.786434973361792e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.002047917744923744, ""energy_max_ha"": -7.8801265880170055, ""energy_mean_ha"": -7.880126588019683, ""energy_min_ha"": -7.88012658802236, ""energy_range_ha"": 5.354827692372055e-12, ""energy_sample_std_ha"": 3.786434973361792e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20770750"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.88012658802236,-7.8801265880170055,0.002047917744923744,0.0020479177000130022,0.00204791770536783,True,False,True,True,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,D5,double,9,2,2,True,"[""base""]",False,True,False,1,9.878498019588733e-11,True,2,9.878498019588733e-11,6.985152937589073e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0005069540924305116, ""energy_max_ha"": -7.881667551576069, ""energy_mean_ha"": -7.881667551625461, ""energy_min_ha"": -7.8816675516748536, ""energy_range_ha"": 9.878498019588733e-11, ""energy_sample_std_ha"": 6.985152937589073e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20870753"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.8816675516748536,-7.881667551576069,0.0005069540924305116,0.0005069540475197698,0.00050695414630475,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,S0,single,9,2,2,True,"[""base""]",False,True,False,1,3.283506799789393e-11,True,2,3.283506799789393e-11,2.321789924203219e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00019498142118923312, ""energy_max_ha"": -7.88197952431326, ""energy_mean_ha"": -7.881979524329678, ""energy_min_ha"": -7.881979524346095, ""energy_range_ha"": 3.283506799789393e-11, ""energy_sample_std_ha"": 2.321789924203219e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20270735"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.881979524346095,-7.88197952431326,0.00019498142118923312,0.00019498137627849133,0.00019498140911355932,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,S3,single,9,2,2,True,"[""base""]",False,True,False,1,4.318945201475799e-11,True,2,4.318945201475799e-11,3.0539554395366373e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 6.338054396870518e-06, ""energy_max_ha"": -7.882168167669698, ""energy_mean_ha"": -7.882168167691292, ""energy_min_ha"": -7.882168167712887, ""energy_range_ha"": 4.318945201475799e-11, ""energy_sample_std_ha"": 3.0539554395366373e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20370738"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.882168167712887,-7.882168167669698,6.338054396870518e-06,6.338009486128726e-06,6.338052675580741e-06,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,S4,single,9,2,2,True,"[""base""]",False,True,False,1,5.222489107836736e-12,True,2,5.222489107836736e-12,3.692857462824239e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00019498143627227904, ""energy_max_ha"": -7.881979524325789, ""energy_mean_ha"": -7.8819795243284005, ""energy_min_ha"": -7.881979524331012, ""energy_range_ha"": 5.222489107836736e-12, ""energy_sample_std_ha"": 3.692857462824239e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20470741"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.881979524331012,-7.881979524325789,0.00019498143627227904,0.00019498139136153725,0.00019498139658402636,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
1.595,1.595000,S7,single,9,2,2,True,"[""base""]",False,True,False,1,1.142304029144725e-10,True,2,1.142304029144725e-10,8.077309251849507e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 6.338055709598223e-06, ""energy_max_ha"": -7.882168167597344, ""energy_mean_ha"": -7.882168167654459, ""energy_min_ha"": -7.8821681677115745, ""energy_range_ha"": 1.142304029144725e-10, ""energy_sample_std_ha"": 8.077309251849507e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20570744"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.882174505722373,-7.882174505767284,-7.8821681677115745,-7.882168167597344,6.338055709598223e-06,6.3380107988564305e-06,6.338125029259345e-06,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
