bond_length_angstrom,geometry_key,canonical_subspace_size,best_target_full_mo_indices_json,minimum_group_projector_singular_value,minimum_individual_projector_norm,mean_projection_weight,passes_frozen_threshold,num_admissible_subsets_evaluated
1.595,1.595000,5,"[1, 2, 3, 4, 9]",0.7304632059785143,0.7304632059785144,0.6839124260545368,False,126
1.595,1.595000,6,"[1, 2, 3, 4, 5, 9]",0.7484536807064578,0.7484536807064582,0.7306321061823318,False,126
1.595,1.595000,7,"[1, 2, 3, 4, 5, 7, 9]",0.7484536807064599,0.8196400584686736,0.8113493873813227,False,84
1.595,1.595000,8,"[1, 2, 3, 4, 7, 8, 9, 10]",0.8536067799763398,0.8536067799763397,0.8851570723822816,True,36
1.595,1.595000,9,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.911189078775744,0.9111890787757437,0.9318767525100764,True,9
1.595,1.595000,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9817175348123308,0.9817175348123308,0.973666426751357,True,1
2.1,2.100000,5,"[1, 2, 3, 4, 9]",0.7616756625822179,0.7616756625822179,0.7068148679701984,True,126
2.1,2.100000,6,"[1, 2, 3, 4, 5, 9]",0.7641558078884413,0.7641558078884413,0.758565947720095,True,126
2.1,2.100000,7,"[1, 2, 3, 4, 5, 7, 9]",0.764155807888443,0.8209406997671989,0.8345329916057679,True,84
2.1,2.100000,8,"[1, 2, 3, 4, 5, 7, 8, 9]",0.864684793594295,0.8646847935942951,0.9105000354914402,True,36
2.1,2.100000,9,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.9371424386013075,0.9371424386013075,0.938464859317158,True,9
2.1,2.100000,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9817175348123309,0.9817175348123309,0.975569051165343,True,1
2.5,2.500000,5,"[1, 2, 3, 4, 9]",0.6060936378273685,0.6060936378273685,0.6761896871278053,False,126
2.5,2.500000,6,"[1, 2, 3, 4, 5, 9]",0.778598599881083,0.7785985998810834,0.7471114203821185,True,126
2.5,2.500000,7,"[1, 2, 3, 4, 5, 7, 9]",0.7785985998810839,0.7790761533745786,0.8186221280663618,True,84
2.5,2.500000,8,"[1, 2, 3, 4, 5, 7, 8, 9]",0.7943061200916585,0.7943061200916584,0.8901328357506051,True,36
2.5,2.500000,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9406842199750034,0.9406842199750034,0.9549148759814672,True,9
2.5,2.500000,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9817175348123306,0.9817175348123307,0.9763030518881226,True,1
3.0,3.000000,5,"[1, 2, 3, 4, 5]",0.7072503295648377,0.7072503295648377,0.7213835858424199,False,126
3.0,3.000000,6,"[1, 2, 3, 4, 5, 6]",0.7965086142107343,0.7965086142107343,0.8020867982268152,True,126
3.0,3.000000,7,"[1, 2, 3, 4, 5, 6, 7]",0.7965086142107344,0.8279166321929715,0.8679554673560345,True,84
3.0,3.000000,8,"[1, 2, 3, 4, 5, 6, 7, 8]",0.9120603934587412,0.9120603934587412,0.9338241364852535,True,36
3.0,3.000000,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9591274990397457,0.9591274990397457,0.9592967488600284,True,9
3.0,3.000000,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9817175348123309,0.9817175348123309,0.976556574003635,True,1
