variant,selected_ids_json,analysis_complete,all_geometries_stable,all_geometries_chemical_accuracy,all_geometries_strict_full24_match,worst_best_error_exact_ha,worst_absolute_best_energy_difference_vs_full24_ha
random10_00,"[4, 5, 6, 7, 8, 9, 11, 14, 21, 22]",True,True,False,False,0.0225038834754842,0.022503882910211992
random10_01,"[1, 3, 4, 7, 8, 9, 15, 16, 20, 21]",True,True,False,False,0.0175121797360295,0.017512179628394797
random10_02,"[1, 2, 5, 6, 13, 14, 15, 20, 21, 23]",True,True,False,False,0.0128796219342168,0.012879621368944605
random10_03,"[0, 1, 4, 7, 13, 17, 19, 20, 21, 23]",True,True,False,False,0.0081698534343557,0.008169852869084337
random10_04,"[1, 2, 5, 6, 8, 9, 10, 15, 18, 23]",True,True,False,False,0.0174596449600148,0.01745964439474257
random10_05,"[0, 1, 5, 7, 9, 12, 13, 17, 19, 21]",True,True,False,False,0.0323109206942398,0.032310920128967524
random10_06,"[1, 3, 4, 7, 9, 12, 15, 16, 21, 23]",True,True,False,False,0.0175161263256269,0.01751612576035466
random10_07,"[0, 5, 6, 7, 9, 10, 12, 15, 17, 23]",True,True,False,False,0.0175313347839871,0.01753133421871489
random10_08,"[0, 2, 4, 5, 9, 10, 14, 15, 17, 22]",True,True,False,False,0.0325478496792479,0.03254784911397568
random10_09,"[2, 3, 4, 7, 8, 14, 17, 18, 20, 23]",True,True,False,False,0.0065690808055167,0.006569080240244496
random10_10,"[0, 2, 4, 6, 9, 14, 16, 17, 18, 23]",True,True,False,False,0.0187098885279421,0.018709887962669924
random10_11,"[1, 4, 5, 7, 10, 12, 13, 16, 18, 20]",True,True,False,False,0.0256491753808001,0.025649174815527864
random10_12,"[0, 2, 3, 5, 9, 11, 14, 16, 17, 18]",True,True,False,False,0.0258957561882819,0.02589575562300972
random10_13,"[0, 2, 4, 7, 8, 10, 15, 16, 18, 23]",True,True,False,False,0.016912287346428,0.01691228678115575
random10_14,"[3, 4, 5, 6, 9, 13, 19, 21, 22, 23]",True,True,False,False,0.0174428065700329,0.01744280600476067
random10_15,"[0, 1, 4, 6, 8, 10, 11, 15, 18, 23]",True,True,False,False,0.006342463349199,0.0063424627839268055
random10_16,"[0, 3, 5, 7, 13, 14, 15, 17, 20, 23]",True,True,False,False,0.0108656905043771,0.010865689939104861
random10_17,"[0, 2, 3, 5, 8, 9, 13, 15, 19, 23]",True,True,False,False,0.0172102286694757,0.01721022810420436
random10_18,"[3, 4, 5, 7, 11, 13, 14, 17, 20, 23]",True,True,False,False,0.0071427915083983,0.007142790943126087
random10_19,"[2, 4, 5, 6, 10, 11, 12, 15, 16, 20]",True,True,False,False,0.0228986423580295,0.022898641792757246
