family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
random_control,random_path_000_composition,1.595000,1.595,37,47,2,True,-7.99721258491823,3.21432658267895e-10,-7.998002039295045,0.000789454376815435,True,True,True
random_control,random_path_000_composition,2.500000,2.5,37,47,2,True,-7.967527804220431,1.028155338644865e-10,-7.9690746235741745,0.001546819353743345,True,False,True
random_control,random_path_000_composition,3.000000,3.0,37,47,2,True,-7.946466940461283,9.710543480423439e-11,-7.949505082865738,0.003038142404454547,False,False,True
random_control,random_path_001_composition,1.595000,1.595,37,47,2,True,-7.996683812457816,1.0957181828530338e-09,-7.998002039295045,0.0013182268372293748,True,False,True
random_control,random_path_001_composition,2.500000,2.5,37,47,2,True,-7.966656972627513,3.9403413865102266e-10,-7.9690746235741745,0.002417650946661354,False,False,True
random_control,random_path_001_composition,3.000000,3.0,37,47,2,True,-7.945749081047416,1.765965151889759e-10,-7.949505082865738,0.003756001818321586,False,False,True
random_control,random_path_002_composition,1.595000,1.595,37,47,2,True,-7.997055902010141,4.098232864180318e-11,-7.998002039295045,0.0009461372849042249,True,False,True
random_control,random_path_002_composition,2.500000,2.5,37,47,2,True,-7.967196939360548,3.884892407768348e-12,-7.9690746235741745,0.0018776842136265515,False,False,True
random_control,random_path_002_composition,3.000000,3.0,37,47,2,True,-7.945947555424104,6.433005239614431e-10,-7.949505082865738,0.0035575274416332903,False,False,True
random_control,random_path_003_composition,1.595000,1.595,37,47,2,True,-7.996618334822904,5.4082072153960326e-11,-7.998002039295045,0.0013837044721407565,True,False,True
random_control,random_path_003_composition,2.500000,2.5,37,47,2,True,-7.966541469605046,1.5488943461150484e-11,-7.9690746235741745,0.0025331539691286764,False,False,True
random_control,random_path_003_composition,3.000000,3.0,37,47,2,True,-7.94411322011141,2.0833823555221898e-10,-7.949505082865738,0.005391862754327903,False,False,True
random_control,random_path_004_composition,1.595000,1.595,37,47,2,True,-7.997228937075314,1.018937823005217e-09,-7.998002039295045,0.0007731022197310367,True,True,True
random_control,random_path_004_composition,2.500000,2.5,37,47,2,True,-7.966984925763393,3.872990816944366e-11,-7.9690746235741745,0.002089697810781388,False,False,True
random_control,random_path_004_composition,3.000000,3.0,37,47,2,True,-7.945342489176389,2.8745539282226673e-10,-7.949505082865738,0.004162593689348348,False,False,True
random_control,random_path_005_composition,1.595000,1.595,37,47,2,True,-7.997828431257631,9.026024372360553e-11,-7.998002039295045,0.00017360803741439668,True,True,True
random_control,random_path_005_composition,2.500000,2.5,37,47,2,True,-7.9678998990715275,1.3362990713972067e-09,-7.9690746235741745,0.0011747245026469955,True,False,True
random_control,random_path_005_composition,3.000000,3.0,37,47,2,True,-7.946713321672125,1.1754508477679337e-10,-7.949505082865738,0.002791761193612352,False,False,True
random_control,random_path_006_composition,1.595000,1.595,37,47,2,True,-7.996527076246039,1.8761880937745445e-10,-7.998002039295045,0.0014749630490058507,True,False,True
random_control,random_path_006_composition,2.500000,2.5,37,47,2,True,-7.9670152306288005,1.1354650553130341e-10,-7.9690746235741745,0.00205939294537405,False,False,True
random_control,random_path_006_composition,3.000000,3.0,37,47,2,True,-7.946374674436137,9.210223694822162e-10,-7.949505082865738,0.003130408429600884,False,False,True
random_control,random_path_007_composition,1.595000,1.595,37,47,2,True,-7.99707831940738,1.5152323840084136e-12,-7.998002039295045,0.0009237198876652641,True,False,True
random_control,random_path_007_composition,2.500000,2.5,37,47,2,True,-7.966822832823396,3.8114400524591474e-11,-7.9690746235741745,0.0022517907507788593,False,False,True
random_control,random_path_007_composition,3.000000,3.0,37,47,2,True,-7.944913207368877,8.095533132745913e-10,-7.949505082865738,0.004591875496860354,False,False,True
random_control,random_path_008_composition,1.595000,1.595,37,47,2,True,-7.997812769601162,6.257661055997232e-11,-7.998002039295045,0.00018926969388299852,True,True,True
random_control,random_path_008_composition,2.500000,2.5,37,47,2,True,-7.9682258658601715,1.8905588206052926e-10,-7.9690746235741745,0.0008487577140030567,True,False,True
random_control,random_path_008_composition,3.000000,3.0,37,47,2,True,-7.947717641859197,6.413722886122741e-10,-7.949505082865738,0.0017874410065408242,False,False,True
random_control,random_path_009_composition,1.595000,1.595,37,47,2,True,-7.997590901778572,3.388471725429554e-10,-7.998002039295045,0.00041113751647348096,True,True,True
random_control,random_path_009_composition,2.500000,2.5,37,47,2,True,-7.967625016715059,4.775939643764104e-10,-7.9690746235741745,0.0014496068591158817,True,False,True
random_control,random_path_009_composition,3.000000,3.0,37,47,2,True,-7.946619776439519,1.7272672181434245e-10,-7.949505082865738,0.002885306426218648,False,False,True
random_control,random_path_010_composition,1.595000,1.595,37,47,2,True,-7.997581971335269,5.791251922460106e-10,-7.998002039295045,0.0004200679597756718,True,True,True
random_control,random_path_010_composition,2.500000,2.5,37,47,2,True,-7.9675302447453396,4.378097884227827e-11,-7.9690746235741745,0.001544378828834958,True,False,True
random_control,random_path_010_composition,3.000000,3.0,37,47,2,True,-7.945918594492668,1.8026469206233742e-10,-7.949505082865738,0.0035864883730694075,False,False,True
random_control,random_path_011_composition,1.595000,1.595,37,47,2,True,-7.997150453990081,1.872813015779684e-11,-7.998002039295045,0.0008515853049644306,True,False,True
random_control,random_path_011_composition,2.500000,2.5,37,47,2,True,-7.9674353407050305,5.362021937571626e-11,-7.9690746235741745,0.0016392828691440542,False,False,True
random_control,random_path_011_composition,3.000000,3.0,37,47,2,True,-7.946523441130652,6.079581282847357e-11,-7.949505082865738,0.0029816417350856383,False,False,True
random_control,random_path_012_composition,1.595000,1.595,37,47,2,True,-7.996995953345582,1.8411938640383596e-11,-7.998002039295045,0.0010060859494629426,True,False,True
random_control,random_path_012_composition,2.500000,2.5,37,47,2,True,-7.967393386402367,9.461524896892115e-10,-7.9690746235741745,0.0016812371718071262,False,False,True
random_control,random_path_012_composition,3.000000,3.0,37,47,2,True,-7.946234492184729,1.142019812050421e-10,-7.949505082865738,0.003270590681008656,False,False,True
random_control,random_path_013_composition,1.595000,1.595,37,47,2,True,-7.997715252361535,1.6051870943556423e-10,-7.998002039295045,0.00028678693351036344,True,True,True
random_control,random_path_013_composition,2.500000,2.5,37,47,2,True,-7.967996037982059,1.4929923963791225e-10,-7.9690746235741745,0.0010785855921158216,True,False,True
random_control,random_path_013_composition,3.000000,3.0,37,47,2,True,-7.947138411828652,8.405010021306225e-11,-7.949505082865738,0.0023666710370857658,False,False,True
random_control,random_path_014_composition,1.595000,1.595,37,47,2,True,-7.996596661794285,4.3861803078470984e-10,-7.998002039295045,0.0014053775007596414,True,False,True
random_control,random_path_014_composition,2.500000,2.5,37,47,2,True,-7.967060628039388,1.950493100366657e-10,-7.9690746235741745,0.002013995534786872,False,False,True
random_control,random_path_014_composition,3.000000,3.0,37,47,2,True,-7.946543816920801,6.862421741971048e-11,-7.949505082865738,0.0029612659449362866,False,False,True
random_control,random_path_015_composition,1.595000,1.595,37,47,2,True,-7.997250339241897,2.943654209275337e-09,-7.998002039295045,0.0007517000531480633,True,True,True
random_control,random_path_015_composition,2.500000,2.5,37,47,2,True,-7.967673263949535,5.652633916497507e-11,-7.9690746235741745,0.0014013596246398308,True,False,True
random_control,random_path_015_composition,3.000000,3.0,37,47,2,True,-7.947010057165775,1.3656631381309126e-11,-7.949505082865738,0.0024950256999627385,False,False,True
random_control,random_path_016_composition,1.595000,1.595,37,47,2,True,-7.997064377278619,5.881402032059668e-10,-7.998002039295045,0.0009376620164260885,True,False,True
random_control,random_path_016_composition,2.500000,2.5,37,47,2,True,-7.966717833068297,3.730882269792346e-11,-7.9690746235741745,0.0023567905058774485,False,False,True
random_control,random_path_016_composition,3.000000,3.0,37,47,2,True,-7.944886301892209,6.436540189724838e-11,-7.949505082865738,0.0046187809735283025,False,False,True
random_control,random_path_017_composition,1.595000,1.595,37,47,2,True,-7.997415071198779,6.778977379440221e-10,-7.998002039295045,0.0005869680962664603,True,True,True
random_control,random_path_017_composition,2.500000,2.5,37,47,2,True,-7.967590552972598,3.2591263021686245e-10,-7.9690746235741745,0.0014840706015766258,True,False,True
random_control,random_path_017_composition,3.000000,3.0,37,47,2,True,-7.946730296768935,3.894307099017169e-11,-7.949505082865738,0.002774786096802373,False,False,True
random_control,random_path_018_composition,1.595000,1.595,37,47,2,True,-7.996603450083557,2.4632651474121303e-10,-7.998002039295045,0.0013985892114876108,True,False,True
random_control,random_path_018_composition,2.500000,2.5,37,47,2,True,-7.966505944624793,1.546354155834706e-10,-7.9690746235741745,0.0025686789493812867,False,False,True
random_control,random_path_018_composition,3.000000,3.0,37,47,2,True,-7.9443045133582535,3.8555825199182436e-11,-7.949505082865738,0.005200569507484154,False,False,True
random_control,random_path_019_composition,1.595000,1.595,37,47,2,True,-7.996889255097576,6.0575366944704e-10,-7.998002039295045,0.0011127841974687414,True,False,True
random_control,random_path_019_composition,2.500000,2.5,37,47,2,True,-7.967141076392656,6.03064265192188e-11,-7.9690746235741745,0.0019335471815189464,False,False,True
random_control,random_path_019_composition,3.000000,3.0,37,47,2,True,-7.946174903509997,2.913917995783777e-10,-7.949505082865738,0.003330179355740981,False,False,True
