run_id,phase7d_protocol_fingerprint,phase7d_support_fingerprint,variant,geometry_key,bond_length_angstrom,operator_count,restart_name,parameter_seed,success,optimizer_success,optimizer_status,optimizer_message,iterations,function_evaluations,energy_total_ha,spin_square,state_norm_residual,gradient_infinity_norm,parameters_json
compact10|1.595000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,1.595000,1.595,10,zero,179761654,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,11,-7.995893472808394,1.7357761685898292e-11,1.1102230246251565e-16,1.137726587496779e-06,"[-0.03791812720578645, -0.0020029131041640245, -0.037914089736655256, -0.0020033516571986427, -0.03974049515737619, 0.05837351330245818, -0.023503607755399898, -0.02351010028378286, 0.058504930534872476, -0.10188632680440164]"
compact10|1.595000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,1.595000,1.595,10,seeded_random_0,179761655,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,17,-7.995893472808732,1.1187775223111243e-11,2.220446049250313e-16,1.8965835753004257e-06,"[-0.03791707326097715, -0.0020028704315734765, -0.03791374712462437, -0.0020031167534660574, -0.03973965482828528, 0.05837265844114505, -0.02350338203654175, -0.023509875702766234, 0.05850474221803108, -0.10188730013085819]"
compact10|2.500000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,2.500000,2.5,10,zero,270261654,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,11,-7.9647725256269695,2.0663844385102043e-09,0.0,3.1914261851007097e-06,"[-0.07707743233212966, -0.0008744368331092394, -0.07703459926297054, -0.0008644972519985106, -0.09265824225437093, -0.1082008769679931, -0.011246175392349334, -0.011246883320002888, -0.10884180544742679, -0.1473940192720207]"
compact10|2.500000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,2.500000,2.5,10,seeded_random_0,270261655,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,18,-7.964772525685579,6.343790004518153e-11,0.0,2.9640536759745206e-06,"[-0.07705886998610467, -0.0008727423596933877, -0.07705257232281815, -0.0008678690225801866, -0.09265900391973292, -0.10819668193525621, -0.011243276690587278, -0.0112433278791886, -0.10884842765085481, -0.14739569813193226]"
compact10|3.000000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,3.000000,3.0,10,zero,320261654,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,12,-7.941046028334221,2.0395444558205553e-08,2.220446049250313e-16,5.8740739479201665e-06,"[-0.11688434310809671, -0.0014964596747139031, -0.11675070717256164, -0.0014597393265910355, -0.16635449005351435, -0.14883178859161572, -0.00609501621062018, -0.0060951142317294165, -0.1504772903594553, -0.14962140871702742]"
compact10|3.000000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,compact10,3.000000,3.0,10,seeded_random_0,320261655,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,20,-7.941046028772,2.128941498260358e-12,0.0,8.701564651047988e-07,"[-0.11681769070619859, -0.0014807442038615966, -0.11681771125785412, -0.001479938233667693, -0.16635431007435297, -0.14881714057259307, -0.0060948159955196346, -0.006094323230353946, -0.15049338376126148, -0.14962367260127588]"
chemical_boundary46|1.595000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,1.595000,1.595,46,zero,179762705,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,18,-7.997828026330393,0.0005140794350847633,2.220446049250313e-16,1.4779934328031097e-05,"[-0.04185560519746944, 0.0077333974471450306, -0.00815891247647859, 0.0003225302891183152, 0.01660507073866872, -0.038395262009462465, -0.004204019744308809, -0.00922834484984296, -0.008518012394016365, -0.04073083677952845, 0.05959292950375554, -0.003010022900107247, 0.0048261508337136905, 0.005304503406888714, -0.023233098250153017, 0.0017709167231737143, 0.0009248862985745066, -0.0232394150134616, 0.0009251353955227268, -0.001771397427029973, 0.060790565733994016, -0.1006302100040164, 0.0019052769894879584, -0.008438415886990283, 0.0019474753070114104, -0.0027806434331357926, 0.001435103264307907, -0.0015994095004783992, 0.004922842653953824, 0.0013541566014335818, 0.0016414712398769252, 0.0008572818785716049, -0.0007687278061573, 0.0008572819879527603, -0.0016414762096629125, -0.00076872911915984, 0.0060939689225097205, -0.00963428839672702, 0.00513348031321434, -0.026276263788303555, 0.005794878510797704, 0.0068936079254390955, 0.0003412421799287677, 0.0016293271969881381, 0.005422506306076793, -0.01357356154141081]"
chemical_boundary46|1.595000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,1.595000,1.595,46,seeded_random_0,179762706,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,23,-7.997828026501841,0.0005142921128528666,6.661338147750939e-16,1.0588229648766682e-05,"[-0.04188414578319478, 0.007728759003261624, -0.008155894460262754, 0.00032058401035977576, 0.01660052599733021, -0.03837268287003185, -0.004204765120649219, -0.009219229719138152, -0.008527391734198989, -0.04073471292082591, 0.05960276489499928, -0.0030081837761492796, 0.004825699953944424, 0.005304402530499572, -0.023230297219099205, 0.0017701168271455124, 0.0009253706728666428, -0.023235808768828643, 0.0009256106731802807, -0.0017728801218990003, 0.06078449143149536, -0.10063165280603718, 0.0019027289739143082, -0.00843800367919062, 0.0019498650963981233, -0.0027788935212944175, 0.0014355371763283557, -0.0015995775513487184, 0.004922226464653946, 0.0013538064356422156, 0.0016415823000814332, 0.0008587913131115683, -0.0007686789010695444, 0.0008581509237202074, -0.0016413928080925794, -0.0007685205993957691, 0.00609307805100161, -0.009636621867091504, 0.005132141295165139, -0.026274122565894557, 0.005795591155435767, 0.006893195843279203, 0.00034505194789781024, 0.0016298478149760433, 0.005422355052505832, -0.013573208887507779]"
chemical_boundary46|2.500000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,2.500000,2.5,46,zero,270262705,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,25,-7.968494604262349,0.002622051036976787,7.771561172376096e-16,7.86442382832292e-06,"[-0.11225443404954007, -0.025577660721378143, -0.019572529947703185, -0.017426288109827312, 0.0297568008378094, -0.08827491514389486, 0.007981228545823494, -0.02211645088318118, -0.025031479554150863, -0.10864411969199161, -0.11931208148939686, -0.014663545660868828, 0.022064289648131088, 0.007951080351832208, -0.01221374941638041, 0.0011552853258038646, 0.002235843924772605, -0.012214700348543517, -0.002236017870179672, 0.0011553788867441702, -0.12195644015821654, -0.15440442257516898, -0.01268109917456223, 0.015187804165709397, 0.006320861067632919, -0.013291378605900999, -0.010743623289289019, -0.0025888084431758183, 0.005682045337842059, 0.001490201742855475, 0.001164413755977034, -0.002253510765415699, -0.0011953889261791242, 0.002253517786439747, 0.00116442155184291, -0.0011953936539223534, 0.02324256894078525, 0.015413509421141327, 0.006043073533455891, -0.022984175945158523, 0.005892830638275527, 0.012595247742648587, 0.008848786078060967, 0.0023867861629492436, 0.00541380536488327, -0.015856082385948354]"
chemical_boundary46|2.500000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,2.500000,2.5,46,seeded_random_0,270262706,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,27,-7.968494604385529,0.0026230764755934264,2.220446049250313e-16,3.581984569762712e-06,"[-0.11227356867193236, -0.025581745815749103, -0.01957419399220935, -0.017429951997828957, 0.029759590738144468, -0.08829371885826147, 0.007989685179445495, -0.02212314570509346, -0.025034924944306123, -0.10865453468586961, -0.11931213723311947, -0.014667659867410658, 0.022063948855177925, 0.007954458401416328, -0.012214472820879356, 0.0011554160453276052, 0.002236029131456865, -0.012215359302371125, -0.0022362723683470947, 0.001155477539936875, -0.12196231465578805, -0.15439859472509784, -0.012683057488378417, 0.015185003527488642, 0.006318390051650797, -0.013292284533349501, -0.010743194050378494, -0.002589506510755099, 0.005682574874098046, 0.0014927103950498901, 0.0011642906795160685, -0.0022532517493990996, -0.0011946217704250815, 0.0022533284033512645, 0.001164321079764053, -0.0011947701088892203, 0.023242351055454892, 0.0154099554428726, 0.006043540412577315, -0.022984466584329854, 0.0058938013365210495, 0.012595524156806197, 0.008852127501608997, 0.0023883457531248277, 0.0054136914754428275, -0.015859029872998424]"
