geometry_key,bond_length_angstrom,variant,operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_exact_ha,phase7c_discovery_best_total_ha,phase7d_vs_phase7c_best_energy_residual_ha,best_spin_square,spin_singlet_passed,strict_accuracy,guarded_accuracy,chemical_accuracy,variational_bound_respected,best_parameters_json
1.595000,1.595,compact10,10,2,True,-7.995893472808732,3.383959779057477e-13,-7.998002039295045,0.0021085664863127462,-7.995893472810522,1.7896795156957523e-12,1.1187775223111243e-11,True,False,False,False,True,"[-0.03791707326097715, -0.0020028704315734765, -0.03791374712462437, -0.0020031167534660574, -0.03973965482828528, 0.05837265844114505, -0.02350338203654175, -0.023509875702766234, 0.05850474221803108, -0.10188730013085819]"
1.595000,1.595,chemical_boundary46,46,2,True,-7.997828026501841,1.7144774488997427e-10,-7.998002039295045,0.00017401279320417018,-7.997828026688407,1.865663179501098e-10,0.0005142921128528666,False,False,True,True,True,"[-0.04188414578319478, 0.007728759003261624, -0.008155894460262754, 0.00032058401035977576, 0.01660052599733021, -0.03837268287003185, -0.004204765120649219, -0.009219229719138152, -0.008527391734198989, -0.04073471292082591, 0.05960276489499928, -0.0030081837761492796, 0.004825699953944424, 0.005304402530499572, -0.023230297219099205, 0.0017701168271455124, 0.0009253706728666428, -0.023235808768828643, 0.0009256106731802807, -0.0017728801218990003, 0.06078449143149536, -0.10063165280603718, 0.0019027289739143082, -0.00843800367919062, 0.0019498650963981233, -0.0027788935212944175, 0.0014355371763283557, -0.0015995775513487184, 0.004922226464653946, 0.0013538064356422156, 0.0016415823000814332, 0.0008587913131115683, -0.0007686789010695444, 0.0008581509237202074, -0.0016413928080925794, -0.0007685205993957691, 0.00609307805100161, -0.009636621867091504, 0.005132141295165139, -0.026274122565894557, 0.005795591155435767, 0.006893195843279203, 0.00034505194789781024, 0.0016298478149760433, 0.005422355052505832, -0.013573208887507779]"
1.595000,1.595,spin_complete_candidate47,47,2,True,-7.998002039199645,1.62432733930018e-10,-7.998002039295045,9.540013223841015e-11,-7.99800203922076,2.1114665571531077e-11,8.030419920538985e-12,True,True,True,True,True,"[-0.04031142719597203, 0.0062920395482434655, -0.007929707001264672, 0.00016515415759313408, 0.01617201109498954, -0.04030880634811714, 0.006291360627013675, -0.007929241085529525, 0.00016484766034835816, 0.016171625753430955, -0.04071601363345445, 0.06076775766920169, -0.002742867397707796, 0.0061032376511380645, 0.006812541933363998, -0.023443560163506873, 0.0016327216384361986, 0.0008527117405513409, -0.023450038514040296, 0.0008529479089425687, -0.0016331765254264015, 0.06091510357635357, -0.10233945228232798, 0.001589710594179995, -0.010210324927288942, 0.00019577545793132237, -0.002764212409316577, 0.0015898780613449585, -0.0015710756418931722, 0.0051001058883798, 0.0015840665225319605, 0.00164495879991252, 0.0008591031126898711, -0.0007839883816820508, 0.0008591033664107667, -0.001644963295945285, -0.0007839898318275176, 0.006150859228634792, -0.010211450163507997, 0.0051005417122737895, -0.026810631223223, 0.005220252525853903, 0.006868506304003542, 0.0001959216621714821, 0.0015847922714761315, 0.005220314232905825, -0.013801177163631882]"
1.595000,1.595,full99,99,2,True,-7.998002039199641,1.929540971445931e-10,-7.998002039295045,9.540368495208895e-11,-7.998002039199625,-1.5987211554602254e-14,8.030419924254736e-12,True,True,True,True,True,"[-0.040311427195938755, 0.0, 0.0, 0.00629203954828342, -0.00792970700124871, 0.0, 0.0, 0.0001651541576526475, 0.016172011095026494, -0.0403088063480846, 0.0, 0.0, 0.006291360627053725, -0.007929241085510758, 0.0, 0.0, 0.00016484766040625377, 0.01617162575346797, -0.04071601363340201, 0.0, 0.0, 0.06076775766919659, -0.002742867397704203, 0.0, 0.0, 0.006103237651147379, 0.006812541933330831, 0.0, -0.023443560176002104, -3.748316889630118e-13, 0.0, 0.0, 0.001632721651416615, 0.0008527117711721047, 0.0, 0.0, 0.0, -2.20809029418176e-13, -0.023450038501546165, 0.0, 0.0, 0.0008529478783024415, -0.0016331765123782137, 0.0, 0.0, 0.06091510357634642, 0.0, 0.0, -0.10233945228233111, 0.0015897105941792692, 0.0, 0.0, -0.010210324927307196, 0.0001957754579029228, -0.002764212409306425, 0.0, 0.0, 0.0015898780613411974, -0.001571075641890453, 0.0, 0.0, 0.005100105888378807, 0.0015840665225357988, 0.0, 0.0016449588135143917, 0.0008591030813085413, 0.0, 0.0, -0.0007839883800286779, -9.442710496073329e-11, 0.0, 0.0, 0.0, 0.0008591033977544144, -0.0016449632823294944, 0.0, 0.0, -9.444235563483116e-11, -0.0007839898334656918, 0.0, 0.0, 0.006150859228640557, 0.0, 0.0, -0.010211450163521528, 0.005100541712271719, 0.0, 0.0, -0.0268106312232323, 0.005220252525845345, 0.006868506303973845, 0.0, 0.0, 0.00019592166214111505, 0.0015847922714832185, 0.0, 0.0, 0.005220314232897946, -0.013801177163653752]"
2.500000,2.5,compact10,10,2,True,-7.964772525685579,5.860911755917186e-11,-7.9690746235741745,0.004302097888595924,-7.96477252568401,-1.5685230891904212e-12,6.343790004518153e-11,True,False,False,False,True,"[-0.07705886998610467, -0.0008727423596933877, -0.07705257232281815, -0.0008678690225801866, -0.09265900391973292, -0.10819668193525621, -0.011243276690587278, -0.0112433278791886, -0.10884842765085481, -0.14739569813193226]"
2.500000,2.5,chemical_boundary46,46,2,True,-7.968494604385529,1.2317968867137097e-10,-7.9690746235741745,0.0005800191886455863,-7.968494604223238,-1.6229062538286598e-10,0.0026230764755934264,False,False,True,True,True,"[-0.11227356867193236, -0.025581745815749103, -0.01957419399220935, -0.017429951997828957, 0.029759590738144468, -0.08829371885826147, 0.007989685179445495, -0.02212314570509346, -0.025034924944306123, -0.10865453468586961, -0.11931213723311947, -0.014667659867410658, 0.022063948855177925, 0.007954458401416328, -0.012214472820879356, 0.0011554160453276052, 0.002236029131456865, -0.012215359302371125, -0.0022362723683470947, 0.001155477539936875, -0.12196231465578805, -0.15439859472509784, -0.012683057488378417, 0.015185003527488642, 0.006318390051650797, -0.013292284533349501, -0.010743194050378494, -0.002589506510755099, 0.005682574874098046, 0.0014927103950498901, 0.0011642906795160685, -0.0022532517493990996, -0.0011946217704250815, 0.0022533284033512645, 0.001164321079764053, -0.0011947701088892203, 0.023242351055454892, 0.0154099554428726, 0.006043540412577315, -0.022984466584329854, 0.0058938013365210495, 0.012595524156806197, 0.008852127501608997, 0.0023883457531248277, 0.0054136914754428275, -0.015859029872998424]"
2.500000,2.5,spin_complete_candidate47,47,2,True,-7.969074623514287,4.786482321605945e-11,-7.9690746235741745,5.988720630512034e-11,-7.969074623142736,-3.715516783131534e-10,5.502821294399886e-10,True,True,True,True,True,"[-0.10231506822957173, -0.017569618795453323, -0.018034422891983468, -0.017291777249154008, 0.027822007601487248, -0.10231696807287065, -0.01758886112484798, -0.01804336894666546, -0.017284561760747195, 0.027826399199340057, -0.10971784954926937, -0.12312920296988375, -0.013065031366107174, 0.02362295657655949, 0.012261396611691724, -0.012692542250014425, 0.0011682710637878992, 0.002261798015127758, -0.012693730127507527, -0.002261832438120684, 0.001168447581862573, -0.12411230667204733, -0.15906765959028424, -0.011197320358124043, 0.016903636638589833, 0.008974470902033498, -0.013338737238558102, -0.011198257028475234, -0.0023921197883776503, 0.0059039849452535145, 0.002180632022249852, 0.0011925593645673563, -0.0023085519538203476, -0.00124776125389508, 0.0023086245967869836, 0.0011926548950577168, -0.001247613725409897, 0.024124747396835806, 0.016912850822344918, 0.00590773547896479, -0.023772724678574702, 0.0053581680959434805, 0.012526553653657431, 0.008983465620023364, 0.0021821991606550744, 0.005359108448218805, -0.016400627003628175]"
2.500000,2.5,full99,99,2,True,-7.969074623466422,6.775628946797951e-10,-7.9690746235741745,1.0775291769959949e-10,-7.969074623466437,1.509903313490213e-14,4.030056331083881e-09,True,True,True,True,True,"[-0.10234691667990252, 0.0, 0.0, -0.017591028221795788, -0.018045335139596302, 0.0, 0.0, -0.01728633737949197, 0.027827693017773592, -0.10229085345021052, 0.0, 0.0, -0.01756816387611515, -0.018034645617951733, 0.0, 0.0, -0.017285185138249285, 0.027821905786967645, -0.10972235493452151, 0.0, 0.0, -0.12313406280430657, -0.013064760603255388, 0.0, 0.0, 0.02362495954473617, 0.012261135956284575, 0.0, -0.012691237539631644, -1.1965850419521468e-11, 0.0, 0.0, 0.0011681467889867124, 0.0022607349975369466, 0.0, 0.0, 0.0, -1.2924745059910669e-11, -0.012692301847102988, 0.0, 0.0, -0.0022609231654122743, 0.0011682478032321638, 0.0, 0.0, -0.12411106919448868, 0.0, 0.0, -0.15906701834848, -0.011195794820824499, 0.0, 0.0, 0.016903993849624984, 0.008974338256118177, -0.013342758689139072, 0.0, 0.0, -0.01120155819198034, -0.002392195554854516, 0.0, 0.0, 0.005905212106417958, 0.0021799584926648703, 0.0, 0.0011924957134869128, -0.002307858411025747, 0.0, 0.0, -0.001247220878153287, 1.5880814301455364e-10, 0.0, 0.0, 0.0, 0.0023078659878965975, 0.0011925040559110337, 0.0, 0.0, 1.5932641735918297e-10, -0.0012472258618164017, 0.0, 0.0, 0.02412353348373577, 0.0, 0.0, 0.016913401110130403, 0.005907037217985994, 0.0, 0.0, -0.023773744983966984, 0.005358342269748598, 0.012527724794988055, 0.0, 0.0, 0.008984634443783128, 0.002181849066965431, 0.0, 0.0, 0.005358261142619893, -0.016400476508939027]"
3.000000,3.0,compact10,10,2,True,-7.941046028772,4.3777870217809323e-10,-7.949505082865738,0.008459054093737706,-7.941046028769805,-2.1946888750790094e-12,2.128941498260358e-12,True,False,False,False,True,"[-0.11681769070619859, -0.0014807442038615966, -0.11681771125785412, -0.001479938233667693, -0.16635431007435297, -0.14881714057259307, -0.0060948159955196346, -0.006094323230353946, -0.15049338376126148, -0.14962367260127588]"
3.000000,3.0,chemical_boundary46,46,2,True,-7.94804168806186,2.9763747022570897e-10,-7.949505082865738,0.0014633948038778044,-7.948041688108792,4.693223587537432e-11,0.023373688836744566,False,False,False,True,True,"[-0.2299223068895204, -0.04968094634905844, -0.047124460368428385, -0.02554065432961131, -0.05393209881194442, -0.1125176624658455, 0.031621345514615574, -0.0366931385116526, -0.03214329232174677, -0.21545843495680045, -0.17893357064193244, -0.01755955194141257, 0.042961456404731674, -0.009139753516336604, -0.007588916864575784, -0.0019088630472207443, -0.0021935539464481113, -0.007589167468728312, -0.0021936223624138785, 0.001908930645132028, -0.17469730616885493, -0.16162249969838824, -0.013777526630708572, 0.02753007319942403, -0.009734821993257932, -0.018382086495191654, -0.014161385133200848, -0.0015700417244155574, 0.0029888412712803752, -0.0015415894841009034, -0.0017993711079130502, -0.0020677317515282426, -0.0016724511096008925, -0.00206773905441382, 0.0017993842365360848, -0.0016724597350324707, 0.03699142737717866, 0.02354414534162275, 0.0019247222511367362, -0.015852508226696434, -0.0018103919718951633, -0.022290680663012794, -0.015557443055994229, -0.0035338186302440408, -0.0006872325442339283, -0.014625205987484588]"
